cycle,range_bin,doppler_bin,output_hex
1130805000,6,14,ffc40154
1130815000,6,15,ff91007f
1130825000,6,16,008efead
1130835000,6,17,feb50040
1130845000,6,18,0107ffc8
1130855000,6,19,ff6f011e
1130865000,6,20,ffe5fed3
1130875000,6,21,0117ffda
1130885000,6,22,fe350084
1130895000,6,23,01b600ad
1130905000,6,24,ff0ffe6a
1130915000,6,25,009201fe
1130925000,6,26,fed3fea1
1130935000,6,27,010501e8
1130945000,6,28,007bfdd0
1130955000,6,29,fdc4010d
1130965000,6,30,03520100
1130975000,6,31,fdd5fef9
1136045000,7,0,ffccffa2
1136055000,7,1,00160196
1136065000,7,2,ff86fd7e
1136075000,7,3,00b40123
1136085000,7,4,006dffad
1136095000,7,5,fed80104
1136105000,7,6,0030fea2
1136115000,7,7,0135031a
1136125000,7,8,ff7ffbfb
1136135000,7,9,ff0c0258
1136145000,7,10,012fff50
1136155000,7,11,fe9f008e
1136165000,7,12,0180fedd
1136175000,7,13,feb10000
1136185000,7,14,01d1012b
1136195000,7,15,ff5eff5e
1136205000,7,16,0034ff88
1136215000,7,17,fe72ffae
1136225000,7,18,01e20088
1136235000,7,19,fedc0067
1136245000,7,20,0025ff37
1136255000,7,21,fea00044
1136265000,7,22,0178fff4
1136275000,7,23,fff3ffd4
1136285000,7,24,fec5ffeb
1136295000,7,25,01c0000c
1136305000,7,26,fe3d012a
1136315000,7,27,00b1ff1c
1136325000,7,28,0012006f
1136335000,7,29,003bfff8
1136345000,7,30,ff8b010f
1136355000,7,31,00a2ff08
1141425000,8,0,0110fecc
1141435000,8,1,fefa0220
1141445000,8,2,009dfe0b
1141455000,8,3,0065012d
1141465000,8,4,fed8ff24
1141475000,8,5,00fb0176
1141485000,8,6,ff73fe45
1141495000,8,7,00eb0323
1141505000,8,8,feebfd0b
1141515000,8,9,0068fff7
1141525000,8,10,ff660026
1141535000,8,11,00fe00ea
1141545000,8,12,fef8fde8
1141555000,8,13,00390205
1141565000,8,14,0148ff28
1141575000,8,15,fd8a00db
1141585000,8,16,02b0ffc6
1141595000,8,17,fd04ff1e
1141605000,8,18,01f90045
1141615000,8,19,fe590251
1141625000,8,20,01e2fd2a
1141635000,8,21,fd8d012e
1141645000,8,22,02b90047
1141655000,8,23,ff33001b
1141665000,8,24,ffd9ff67
1141675000,8,25,ffc2ffff
1141685000,8,26,002400f6
1141695000,8,27,00d8ff30
1141705000,8,28,ff8affc6
1141715000,8,29,fff7013b
1141725000,8,30,ffbcffd0
1141735000,8,31,ffd4ff47
1146805000,9,0,0167008e
1146815000,9,1,ff220031
1146825000,9,2,ff42ff5f
1146835000,9,3,0121013b
1146845000,9,4,0073ff78
1146855000,9,5,ff020112
1146865000,9,6,fff1fe5d
1146875000,9,7,00ed034c
1146885000,9,8,ff30fcd7
1146895000,9,9,fffd00c5
1146905000,9,10,004bff4d
1146915000,9,11,00bf01a9
1146925000,9,12,ff68fe6d
1146935000,9,13,ff62ffda
1146945000,9,14,018600d5
1146955000,9,15,ff6b010f
1146965000,9,16,010bfe7a
1146975000,9,17,fdda0083
1146985000,9,18,0104ffdb
1146995000,9,19,ff430065
1147005000,9,20,0139fde4
1147015000,9,21,fe60037c
1147025000,9,22,021bfd5d
1147035000,9,23,fec100f4
1147045000,9,24,00aaff1d
1147055000,9,25,00affff3
1147065000,9,26,fe770121
1147075000,9,27,00f5ff77
1147085000,9,28,ff60ffd3
1147095000,9,29,ff840044
1147105000,9,30,00760011
1147115000,9,31,ff0ffef9
1152185000,10,0,00caff33
1152195000,10,1,ff9e0000
1152205000,10,2,001effed
1152215000,10,3,ffc101e2
1152225000,10,4,0103fe19
1152235000,10,5,feb000d8
1152245000,10,6,0039ff72
